Country,Opening,Gross,Avg Price of Ticket,Tickets Sold (approx.)
United Kingdom,11742995.0,49430820.0,10.9,4536692.0
Germany,8116294.0,40099562.0,10.71,3743170.0
France,8697100.0,31429912.0,8.57,3667436.0
Spain,3426307.0,14924823.0,8.54,1747925.0
Netherlands,2224495.0,11234574.0,10.75,1045062.0
Poland,2034217.0,11000000.0,9.63,1142367.0
Italy,3280513.0,10823082.0,8.43,1284079.0
Switzerland,7100000.0,8400000.0,16.8,500000.0
Norway,1079518.0,5887019.0,15.79,372753.0
UAE,1308799.0,4205665.0,11.27,373257.0
Sweden,2000000.0,2000000.0,15.22,131408.0
Brazil,2100760.0,6500000.0,6.77,960414.0
Mexico,3897306.0,3600142.0,7.52,478193.0
Colombia,625778.0,2101517.0,9.64,218002.0
Australia,5607631.0,22326457.0,12.95,1724269.0
South Korea,4742846.0,16326147.0,11.65,1401749.0
Hong Kong,1322535.0,4491390.0,8.41,534298.0
Taiwan,2500000.0,4300000.0,5.32,808271.0
Japan,1321529.0,4170634.0,12.77,326626.0
New Zealand,1028971.0,3090030.0,9.91,311857.0
China,19600000.0,49000000.0,7.56,6485185.0
USA,82505391.0,282144358.0,8.13,34709761.0
